customer_id,dar_night_tower,tower_id,subward_name,subward_id,ward_name,ward_id,rank,prop_known,kmeans,binary_dv
1186,351,351,Mkunguni B,136,Hananasifu,17,39,0.505319149,5,0
485,44,44,Kiwalani,238,Kiwalani,31,197,0.64893617,3,0
92,468,468,Kimamba,8,Makurumla,90,155,0.430851064,4,0
90,77,77,Kondo,80,Kunduchi,25,52,0.760638298,5,0
862,92,92,Makongo,161,Makongo,7,80,0.829787234,5,0
51,489,489,Mbezi Luisi,133,Mbezi,49,156,0.765957447,4,0
921,249,249,NHC,59,Ubungo,71,32,0.904255319,5,0
347,343,343,Mshikamano,128,Mbezi,49,234,0.765957447,3,1
489,374,374,Sinza 'C',104,Sinza,23,42,0.904255319,5,0
528,200,200,Kichangani,263,Majohe,83,362,0.505319149,1,1
523,427,427,Kibamba,68,Kibamba,82,169,0.70212766,4,0
638,277,277,Kitunda kati,247,Kitunda,22,260,0.707446809,3,1
873,427,427,Kibamba,68,Kibamba,82,169,0.70212766,4,0
319,426,426,Mogo,211,Kipawa,46,211,0.664893617,3,0
871,303,303,Basihaya,86,Bunju,86,115,0.739361702,4,0
719,407,407,Kibangu,93,Makuburi,63,180,0.611702128,3,0
345,209,209,Hananasif,134,Hananasifu,17,69,0.505319149,5,0
990,491,491,Sea View,236,Kivukoni,27,8,0.861702128,5,0
781,508,508,Golani,121,Kimara,20,173,0.914893617,3,0
260,170,170,Michungwani,143,Saranga,29,358,0.430851064,1,1
243,1,1,Mwenge,109,Kijitonyama,55,28,0.89893617,5,0
846,505,505,Kisiwani,214,Buguruni,80,150,0.888297872,4,0
46,319,319,Tembomgwaza,270,Kimanga,41,294,0.760638298,2,1
1136,542,542,Sinza 'B',106,Sinza,23,73,0.904255319,5,0
15,40,40,Mbuyuni,44,Kigogo,6,269,0.824468085,3,1
165,381,381,Lubakaya,254,Chanika,13,436,0.654255319,1,1
563,427,427,Kibamba,68,Kibamba,82,169,0.70212766,4,0
183,394,394,Makongo,161,Makongo,7,80,0.829787234,5,0
448,80,80,Temboni,152,Msigani,60,172,0.484042553,3,0
