customer_id,before_call_entropy,before_perc_of_calls_to_dar,before_calls_to_dar_ward_rank,before_calls_to_dar_subward_rank,after_call_entropy,before_money_sent_normed,after_mean_balance,after_cashin_normed,region_education,region_immunization_measles,region_antenatal_visits,region_parliament_female_male_ratio,region_population_millions,region_manyara,region_mara,region_pwani,region_ruvuma,region_shinyanga
1186,4.0066,45.65,16.0,14.0,4.225,84.45378151260505,219899.53846153847,1509.9125683060108,18.3,83.4,39.72,0.6,0.86,0,0,0,0,0
485,2.0336,37.66,237.5,197.0,2.2073,61.34969325153374,25330.507936507936,1080.4065040650407,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0
470,2.8731,12.09,250.12,163.0,3.6041,559.8901098901099,1372.7142857142858,0.0326797385620915,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0
954,3.63,59.71,280.83,276.0,3.8807,10730.951086956522,3875.904761904762,48.83050847457627,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
92,4.0496,37.39,251.67,155.0,4.2554,420.5445544554456,76834.34285714285,1285.125,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
90,3.9678,8.27,195.25,199.0,3.7132,2686.5234375,97466.6989247312,27648.545454545456,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0
862,3.6941,28.02,356.29,358.0,3.3806,938.62660944206,8907.041666666666,918.8396946564884,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0
51,4.1299,67.57,52.67,44.0,4.048,100.0,3868.428571428572,0.2337662337662337,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0
921,2.917,17.39,51.6,32.0,2.8857,4229.370558375635,14847.04255319149,1225.83850931677,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0
347,4.0334,25.2,107.6,146.0,3.624,10711.45251396648,15675.887931034482,743.1125,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
489,3.2907,59.26,51.6,65.0,3.6044,6772.772277227723,53766.71698113208,39245.608,26.3,51.0,32.28,0.22,2.29,0,0,0,0,0
528,3.2023,41.41,356.29,358.0,3.4823,9.068627450980392,5885.769230769231,407.07964601769913,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0
523,2.5789,7.14,260.25,237.0,2.8495,4955470.306930693,0.0,0.0,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
638,3.3444,44.68,169.25,119.0,3.2082,9950.0,291907.19,6483.933333333333,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
873,3.0395,1.28,250.12,163.0,2.5889,4923.461538461538,2981.6857142857143,51.294117647058826,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
319,3.8814,28.97,202.67,211.0,3.7837,3618.340611353712,9316.78125,361.5648854961832,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
1103,2.7524,20.21,352.5,428.0,4.1478,795.4545454545455,10113.666666666666,57.826530612244895,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0
871,4.1924,23.15,195.25,154.0,4.0901,429.7053140096618,2813.0,0.2427184466019417,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0
719,2.8201,35.29,193.2,180.0,2.7797,1563.1868131868132,66958.0,2.111888111888112,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0
345,3.3326,69.35,20.5,69.0,2.3879,5510.124087591241,5093.1,111.55862068965516,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
990,3.1397,68.52,49.75,19.0,3.3904,24888.28125,25326.85185185185,4542.571428571428,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
781,2.8359,54.47,176.0,173.0,2.5156,475.0,2831.1428571428573,0.0181818181818181,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
260,4.1221,20.48,277.0,248.0,3.7537,6374.438202247191,37058.72463768116,1182.5956284153006,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
243,4.1229,49.13,255.57,207.0,4.3313,3402.5,9708.850746268658,277.075,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
1139,2.4088,7.25,213.33,60.0,2.4798,265.0,7394.066666666667,106.75539568345324,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0
